Date;median;Species
01.01.2019;1,5;percipitatio!n
02.01.2019;0,2;percipitation
03.01.2019;0,9;percipitation
04.01.2019;0,3;percipitation
05.01.2019;3,9;percipitation
06.01.2019;1,5;percipitation
07.01.2019;3;percipitation
08.01.2019;8,3;percipitation
09.01.2019;2,3;percipitation
10.01.2019;0,6;percipitation
11.01.2019;1,7;percipitation
12.01.2019;7,5;percipitation
13.01.2019;9,8;percipitation
14.01.2019;0,4;percipitation
15.01.2019;0;percipitation
16.01.2019;0;percipitation
17.01.2019;5,6;percipitation
18.01.2019;0;percipitation
19.01.2019;0;percipitation
20.01.2019;0;percipitation
21.01.2019;0;percipitation
22.01.2019;0;percipitation
23.01.2019;0,1;percipitation
24.01.2019;0;percipitation
25.01.2019;2,3;percipitation
26.01.2019;6,1;percipitation
27.01.2019;5,7;percipitation
28.01.2019;6;percipitation
29.01.2019;0;percipitation
30.01.2019;2,1;percipitation
31.01.2019;1,3;percipitation
01.02.2019;1,9;percipitation
02.02.2019;1,6;percipitation
03.02.2019;0;percipitation
04.02.2019;0;percipitation
05.02.2019;0,5;percipitation
06.02.2019;0;percipitation
07.02.2019;1,5;percipitation
08.02.2019;0,3;percipitation
09.02.2019;5;percipitation
10.02.2019;17,8;percipitation
11.02.2019;3,2;percipitation
12.02.2019;0;percipitation
13.02.2019;0;percipitation
14.02.2019;0;percipitation
15.02.2019;0;percipitation
16.02.2019;0;percipitation
17.02.2019;0;percipitation
18.02.2019;0;percipitation
19.02.2019;0;percipitation
20.02.2019;0;percipitation
21.02.2019;0,3;percipitation
22.02.2019;0,1;percipitation
23.02.2019;0;percipitation
24.02.2019;0;percipitation
25.02.2019;0;percipitation
26.02.2019;0;percipitation
27.02.2019;0;percipitation
28.02.2019;0;percipitation
01.03.2019;1,8;percipitation
02.03.2019;1,2;percipitation
03.03.2019;6,1;percipitation
04.03.2019;2,2;percipitation
05.03.2019;0,8;percipitation
06.03.2019;1,1;percipitation
07.03.2019;2,6;percipitation
08.03.2019;2,2;percipitation
09.03.2019;12,9;percipitation
10.03.2019;13,3;percipitation
11.03.2019;6,5;percipitation
12.03.2019;0,7;percipitation
13.03.2019;5,8;percipitation
14.03.2019;10;percipitation
15.03.2019;5,8;percipitation
16.03.2019;2;percipitation
17.03.2019;2,3;percipitation
18.03.2019;1,5;percipitation
