Date;median
30.12.2019;
31.12.2019;
01.01.2020;58,8
02.01.2020;
03.01.2020;63,8
04.01.2020;60,5
05.01.2020;58,8
06.01.2020;
07.01.2020;0,5
08.01.2020;0,9
09.01.2020;1,3
10.01.2020;3,5
11.01.2020;0
12.01.2020;0,7
13.01.2020;0,2
14.01.2020;0,3
15.01.2020;0,6
16.01.2020;0
17.01.2020;0,5
18.01.2020;2,8
19.01.2020;0,3
20.01.2020;0
21.01.2020;0
22.01.2020;0
23.01.2020;0
24.01.2020;0
25.01.2020;0
26.01.2020;0
27.01.2020;1,2
28.01.2020;3,6
29.01.2020;1
30.01.2020;0,3
31.01.2020;0
01.02.2020;3,6
02.02.2020;7,5
03.02.2020;0,1
04.02.2020;1,9
05.02.2020;0
06.02.2020;0
07.02.2020;0
08.02.2020;0,1
09.02.2020;13,5
10.02.2020;5,5
11.02.2020;0,4
12.02.2020;0
13.02.2020;6,8
14.02.2020;0
15.02.2020;0
16.02.2020;7,4
17.02.2020;3,6
18.02.2020;5,7
19.02.2020;5,8
20.02.2020;4,9
21.02.2020;0
22.02.2020;1,1
23.02.2020;22,2
24.02.2020;4,8
25.02.2020;2,1
26.02.2020;5,2
27.02.2020;3,1
28.02.2020;3,8
29.02.2020;0,8
01.03.2020;0,2
02.03.2020;2,5
03.03.2020;1,9
04.03.2020;0,2
05.03.2020;3,8
06.03.2020;4,4
07.03.2020;0,2
08.03.2020;4,3
09.03.2020;0
10.03.2020;11,4
11.03.2020;4
12.03.2020;4,4
13.03.2020;5,6
14.03.2020;0
15.03.2020;0
16.03.2020;0
17.03.2020;0
18.03.2020;0
19.03.2020;0
20.03.2020;0,3
21.03.2020;0
22.03.2020;0
23.03.2020;0
24.03.2020;0
25.03.2020;0
26.03.2020;0
27.03.2020;0
28.03.2020;0
29.03.2020;1,4
30.03.2020;2,1
31.03.2020;0
01.04.2020;0
02.04.2020;0
03.04.2020;0
04.04.2020;0
05.04.2020;0
06.04.2020;0
07.04.2020;0
08.04.2020;0
09.04.2020;0
10.04.2020;0
11.04.2020;0
12.04.2020;0
13.04.2020;0
14.04.2020;0
15.04.2020;0
16.04.2020;0
17.04.2020;0
18.04.2020;2,1
19.04.2020;0
20.04.2020;0
21.04.2020;0
22.04.2020;0
23.04.2020;0
24.04.2020;0
25.04.2020;0
26.04.2020;0
27.04.2020;0
28.04.2020;2,8
29.04.2020;5,5
30.04.2020;2,2
01.05.2020;1,9
02.05.2020;4,1
03.05.2020;0
04.05.2020;2
05.05.2020;0
06.05.2020;0
07.05.2020;0
08.05.2020;0
09.05.2020;0
10.05.2020;1
11.05.2020;0,6
12.05.2020;0
13.05.2020;0
14.05.2020;0
15.05.2020;0
16.05.2020;0
17.05.2020;0
18.05.2020;0
19.05.2020;0
20.05.2020;0
21.05.2020;0
22.05.2020;0,7
23.05.2020;0
24.05.2020;4,5
25.05.2020;0
26.05.2020;0
27.05.2020;0
28.05.2020;0
29.05.2020;0
30.05.2020;0
31.05.2020;0
01.06.2020;0
02.06.2020;0
03.06.2020;0
04.06.2020;7,2
05.06.2020;11,3
06.06.2020;5,5
07.06.2020;0
08.06.2020;4,1
09.06.2020;0,4
10.06.2020;0
11.06.2020;1,5
12.06.2020;0
13.06.2020;0
14.06.2020;23,2
15.06.2020;0,7
16.06.2020;6,8
17.06.2020;18,2
18.06.2020;5,9
19.06.2020;0,1
20.06.2020;0
21.06.2020;0
22.06.2020;0
23.06.2020;0
24.06.2020;0
25.06.2020;0
26.06.2020;0
27.06.2020;0,1
28.06.2020;0
29.06.2020;0,2
30.06.2020;0
01.07.2020;22,1
02.07.2020;0,3
03.07.2020;0,1
04.07.2020;0,1
05.07.2020;0,8
06.07.2020;3,4
07.07.2020;0
08.07.2020;0,5
09.07.2020;3,1
10.07.2020;0
11.07.2020;0
12.07.2020;0
13.07.2020;0
14.07.2020;2,6
15.07.2020;0
16.07.2020;0
17.07.2020;0
18.07.2020;0
19.07.2020;0
20.07.2020;0
21.07.2020;0
22.07.2020;0
23.07.2020;0
24.07.2020;0
25.07.2020;0
26.07.2020;9,4
27.07.2020;0,2
28.07.2020;1,1
29.07.2020;0
30.07.2020;0
31.07.2020;0
01.08.2020;0
02.08.2020;0
03.08.2020;0
04.08.2020;0
05.08.2020;0
06.08.2020;0
07.08.2020;0
08.08.2020;0
09.08.2020;2,2
10.08.2020;0
11.08.2020;0
12.08.2020;0
13.08.2020;0
14.08.2020;0
15.08.2020;0,2
16.08.2020;1
17.08.2020;2,9
18.08.2020;0
19.08.2020;0
20.08.2020;0,2
21.08.2020;8,4
22.08.2020;0
23.08.2020;0,4
24.08.2020;1,3
25.08.2020;2
26.08.2020;0,9
27.08.2020;0,4
28.08.2020;3,3
29.08.2020;0
30.08.2020;0
31.08.2020;0
01.09.2020;0
02.09.2020;0
03.09.2020;5,9
04.09.2020;3,3
05.09.2020;4,2
06.09.2020;0
07.09.2020;0
08.09.2020;0
09.09.2020;0,6
10.09.2020;0
11.09.2020;0
12.09.2020;0
13.09.2020;0
14.09.2020;0
15.09.2020;0
16.09.2020;0
17.09.2020;0
18.09.2020;0
19.09.2020;0
20.09.2020;0
21.09.2020;0
22.09.2020;0
23.09.2020;0,6
24.09.2020;3,8
25.09.2020;1,8
26.09.2020;24,6
27.09.2020;1,2
28.09.2020;0,2
29.09.2020;0,4
30.09.2020;0,3
01.10.2020;2
02.10.2020;0
03.10.2020;3,2
04.10.2020;0
05.10.2020;0
