data,avg_co,min_co,max_co
2019-01-01,3.14,2.14,5.38
2019-01-02,3.03,2.14,4.59
2019-01-03,3.27,2.51,4.44
2019-01-04,3.58,2.56,5.22
2019-01-05,3.18,2.24,4.63
2019-01-06,3.19,2.26,5.12
2019-01-07,3.34,2.71,4.28
2019-01-08,3.44,2.56,4.96
2019-01-09,3.77,2.98,5.22
2019-01-10,3.15,2.4,4.49
2019-01-11,3.76,2.4,5.74
2019-01-12,3.85,3.08,4.91
2019-01-13,3.33,2.66,4.85
2019-01-14,4.01,2.85,6.68
2019-01-15,4.0,2.98,6.45
2019-01-16,4.1,3.03,5.59
2019-01-17,3.21,2.61,4.49
2019-01-18,3.05,2.3,4.02
2019-01-19,3.5,2.61,5.53
2019-01-20,3.45,2.71,5.06
2019-01-21,3.63,2.66,5.69
2019-01-22,3.33,2.66,4.12
2019-01-23,3.27,2.71,4.18
2019-01-24,2.64,2.09,3.47
2019-01-25,3.68,2.45,6.32
2019-01-26,3.05,2.15,4.35
2019-01-27,2.59,2.15,3.75
2019-01-28,2.66,2.09,3.69
2019-01-29,3.13,2.26,4.91
2019-01-30,2.61,2.12,3.5
2019-01-31,3.13,2.34,5.31
2019-02-01,3.0,2.33,4.9
2019-02-02,2.54,2.2,3.09
2019-02-03,2.6,2.28,3.03
2019-02-04,3.34,2.42,4.85
2019-02-05,4.12,3.03,6.73
2019-02-06,4.76,3.08,7.26
2019-02-07,4.8,3.48,7.26
2019-02-08,3.86,3.08,5.38
2019-02-09,3.81,2.82,5.06
2019-02-10,3.07,2.4,4.54
2019-02-11,3.14,2.45,4.23
2019-02-12,3.41,2.77,5.06
2019-02-13,3.94,2.98,5.9
2019-02-14,3.6,2.7,5.01
2019-02-15,4.16,2.77,7.05
2019-02-16,4.36,3.13,6.0
2019-02-17,3.65,2.87,4.86
2019-02-18,3.76,2.98,6.37
2019-02-19,3.6,2.87,5.74
2019-02-20,3.36,2.69,4.7
2019-02-21,3.89,2.56,6.68
2019-02-22,4.6,2.98,7.73
2019-02-23,3.33,2.37,5.17
2019-02-24,2.93,2.31,3.58
2019-02-25,4.04,2.82,6.79
2019-02-26,4.4,2.73,7.24
2019-02-27,4.39,2.98,6.75
2019-02-28,4.56,3.03,8.67
2019-03-01,3.59,2.71,4.7
2019-03-02,3.1,2.51,3.81
2019-03-03,3.03,2.61,3.55
2019-03-04,2.97,2.48,4.86
2019-03-05,3.79,2.81,5.75
2019-03-06,3.15,2.51,4.07
2019-03-07,2.79,2.42,3.58
2019-03-08,3.11,2.51,5.12
2019-03-09,2.85,2.28,4.32
2019-03-10,2.85,2.24,4.23
2019-03-11,2.57,2.24,3.39
2019-03-12,3.15,2.63,4.51
2019-03-13,2.84,2.38,3.62
2019-03-14,2.55,2.19,3.5
2019-03-15,2.66,2.28,3.68
2019-03-16,2.93,2.29,4.4
2019-03-17,2.9,2.29,4.4
2019-03-18,2.55,2.22,3.15
2019-03-19,2.86,2.61,3.34
2019-03-20,2.88,2.31,3.89
2019-03-21,3.37,2.66,4.54
2019-03-22,3.3,2.66,4.44
2019-03-23,3.49,2.48,4.71
2019-03-24,3.17,2.56,4.07
2019-03-25,3.21,2.43,5.46
2019-03-26,2.76,2.48,3.27
2019-03-27,2.87,2.35,3.97
